cmplnt_fr_dt,year_month,boro_nm,ofns_desc,patrol_boro,susp_age_group,susp_race,susp_sex,vic_age_group,vic_race,vic_sex,latitude,longitude,high_risk_label,actual_label,predicted_label,predicted_probability,prediction_correct,error_type,final_model
2025-07-24,2025-07,MANHATTAN,GRAND LARCENY,PATROL BORO MAN NORTH,UNKNOWN,UNKNOWN,U,45-64,WHITE,M,40.782084,-73.982827,1,1,1,0.6448999803024775,1,TP,Logistic Regression
2025-04-02,2025-04,QUEENS,DANGEROUS WEAPONS,PATROL BORO QUEENS SOUTH,18-24,BLACK,M,UNKNOWN,UNKNOWN,E,40.672712,-73.773677,1,1,0,0.46172323264827236,0,FN,Logistic Regression
2025-03-09,2025-03,MANHATTAN,SEX CRIMES,PATROL BORO MAN SOUTH,25-44,WHITE HISPANIC,M,UNKNOWN,UNKNOWN,E,40.75353270126,-73.99453689202,0,0,1,0.8785802464599041,0,FP,Logistic Regression
2025-07-27,2025-07,BROOKLYN,CRIMINAL MISCHIEF & RELATED OF,PATROL BORO BKLYN SOUTH,(null),(null),(null),25-44,BLACK,F,40.675673,-74.006255,0,0,0,0.4853900116687558,1,TN,Logistic Regression
2025-01-08,2025-01,QUEENS,ASSAULT 3 & RELATED OFFENSES,PATROL BORO QUEENS SOUTH,25-44,UNKNOWN,M,18-24,BLACK,F,40.680104,-73.840456,0,0,1,0.588928171219607,0,FP,Logistic Regression
2025-01-17,2025-01,BRONX,HARRASSMENT 2,PATROL BORO BRONX,25-44,ASIAN / PACIFIC ISLANDER,F,25-44,BLACK,F,40.823699,-73.902736,0,0,0,0.3052459093518453,1,TN,Logistic Regression
2025-08-04,2025-08,BRONX,ASSAULT 3 & RELATED OFFENSES,PATROL BORO BRONX,UNKNOWN,BLACK,M,25-44,BLACK,M,40.878739,-73.861633,0,0,0,0.46782218494978445,1,TN,Logistic Regression
2025-12-13,2025-12,BRONX,MISCELLANEOUS PENAL LAW,PATROL BORO BRONX,25-44,BLACK HISPANIC,M,UNKNOWN,UNKNOWN,E,40.837782,-73.919457,1,1,0,0.4954414155507171,0,FN,Logistic Regression
2025-04-27,2025-04,BROOKLYN,HARRASSMENT 2,PATROL BORO BKLYN SOUTH,UNKNOWN,BLACK,M,25-44,BLACK,M,40.650242,-73.91333,0,0,0,0.4891304887270701,1,TN,Logistic Regression
2025-09-28,2025-09,BRONX,CRIMINAL MISCHIEF & RELATED OF,PATROL BORO BRONX,UNKNOWN,UNKNOWN,U,45-64,BLACK HISPANIC,M,40.81427012,-73.91534128,1,1,1,0.6141575699960291,1,TP,Logistic Regression
2025-10-19,2025-10,BRONX,BURGLARY,PATROL BORO BRONX,UNKNOWN,UNKNOWN,U,UNKNOWN,UNKNOWN,D,40.824264,-73.887694,1,1,1,0.5202860498441386,1,TP,Logistic Regression
2025-07-17,2025-07,MANHATTAN,HARRASSMENT 2,PATROL BORO MAN NORTH,UNKNOWN,UNKNOWN,U,65+,WHITE HISPANIC,F,40.838146,-73.94294,0,0,1,0.6522559921486706,0,FP,Logistic Regression
2025-07-24,2025-07,QUEENS,CRIMINAL MISCHIEF & RELATED OF,PATROL BORO QUEENS NORTH,(null),(null),(null),25-44,ASIAN / PACIFIC ISLANDER,M,40.775608,-73.843107,1,1,1,0.6390172187964699,1,TP,Logistic Regression
2025-07-03,2025-07,BROOKLYN,ASSAULT 3 & RELATED OFFENSES,PATROL BORO BKLYN SOUTH,18-24,BLACK,M,18-24,WHITE,M,40.602841,-73.952066,0,0,1,0.6566839693910755,0,FP,Logistic Regression
2025-10-05,2025-10,BROOKLYN,THEFT-FRAUD,PATROL BORO BKLYN SOUTH,UNKNOWN,UNKNOWN,U,25-44,WHITE,F,40.637814,-74.028143,1,1,1,0.6031704127130946,1,TP,Logistic Regression
