boro_nm,cmplnt_fr_dt,cmplnt_fr_tm,crm_atpt_cptd_cd,law_cat_cd,ofns_desc,parks_nm,patrol_boro,susp_age_group,susp_race,susp_sex,vic_age_group,vic_race,vic_sex,latitude,longitude
BROOKLYN,09/09/2025,12:20:00,COMPLETED,VIOLATION,HARRASSMENT 2,(null),PATROL BORO BKLYN NORTH,25-44,BLACK,M,18-24,BLACK,M,40.675032,-73.892314
BROOKLYN,08/18/2025,09:13:00,COMPLETED,MISDEMEANOR,POSSESSION OF STOLEN PROPERTY,(null),PATROL BORO BKLYN NORTH,25-44,BLACK,F,25-44,UNKNOWN,M,40.69537665,-73.94920664
BRONX,12/01/2025,07:32:00,COMPLETED,MISDEMEANOR,OTHER OFFENSES RELATED TO THEFT,(null),PATROL BORO BRONX,18-24,BLACK,M,UNKNOWN,UNKNOWN,E,40.82018895,-73.89067524
MANHATTAN,06/20/2025,05:00:00,COMPLETED,VIOLATION,HARRASSMENT 2,(null),PATROL BORO MAN NORTH,UNKNOWN,WHITE HISPANIC,M,25-44,WHITE,F,40.75964049,-73.95816379
BROOKLYN,03/31/2025,03:37:00,COMPLETED,FELONY,GRAND LARCENY,(null),PATROL BORO BKLYN NORTH,(null),(null),(null),25-44,UNKNOWN,M,40.68376454,-73.97875956
BRONX,07/28/2025,09:00:00,COMPLETED,FELONY,GRAND LARCENY,(null),PATROL BORO BRONX,(null),(null),(null),25-44,WHITE HISPANIC,M,40.84598595,-73.88446673
BROOKLYN,08/03/2025,14:10:00,COMPLETED,MISDEMEANOR,DANGEROUS DRUGS,(null),PATROL BORO BKLYN NORTH,45-64,BLACK,F,UNKNOWN,UNKNOWN,E,40.671413,-73.88151
MANHATTAN,04/02/2025,17:15:00,COMPLETED,FELONY,GRAND LARCENY,(null),PATROL BORO MAN SOUTH,UNKNOWN,UNKNOWN,U,25-44,WHITE,M,40.720769,-73.980488
MANHATTAN,06/02/2025,16:40:00,COMPLETED,FELONY,DANGEROUS DRUGS,(null),PATROL BORO MAN NORTH,45-64,WHITE HISPANIC,M,UNKNOWN,UNKNOWN,E,40.787134,-73.945001
BRONX,06/15/2025,17:20:00,COMPLETED,FELONY,CRIMINAL MISCHIEF & RELATED OF,(null),PATROL BORO BRONX,18-24,BLACK,F,<18,WHITE HISPANIC,F,40.87739338,-73.86649088
